word,quality,def1,def2,def3
purr,3,The tiny motor inside every happy cat that turns on during cuddles,A vibrating hum that means your kitty is having the best day ever,The sound cats make when they want you to know everything is purrfect
meow,3,"The universal cat word that can mean hello, feed me, or pay attention to me right now",A kitty's favorite way to start a conversation with their human,The sound that echoes through the house at 3 AM when someone wants a midnight snack
mew,2,"The tiniest, softest sound a baby kitten makes that melts every heart",A delicate little squeak from a kitten who hasn't learned to meow yet,The sound so small and sweet it could make even a dog person say awww
hiss,2,"A cat's way of saying back off buddy, I need my personal space right now",The spicy sound an angry kitty makes when the vet gets too close,A dramatic sssss noise that means a cat is feeling feisty and fierce
chirp,2,The funny chattering sound cats make when they spot a bird through the window,A cute clicking noise that means a kitty is very excited about something it sees,The adorable bird-like sound cats make because they're secretly part parrot
paws,3,"The softest, squishiest little feet in the entire animal kingdom",Fuzzy toe-bean holders that pitter-patter across the floor at top speed,"Nature's cutest slippers, found at the end of every kitty's legs"
tail,2,A fluffy mood indicator that swishes when happy and poofs when startled,The fuzzy antenna on a cat's backside that tells you exactly how they feel,"A wiggly, waggly thing cats chase in circles when they forget it belongs to them"
fur,1,"The soft, warm coat that covers every inch of a cuddly kitty",Fluffy stuff that ends up on every piece of clothing you own,A cat's cozy built-in blanket that comes in every color of the rainbow
claws,2,Tiny retractable hooks that are purrfect for climbing trees and kneading blankets,Sharp little tools hidden inside soft paws like a kitty's secret weapons,The reason your couch has those mysterious little holes in it
tabby,2,A stripy cat with a coat pattern that makes it look like a tiny tiger,The classic kitty with beautiful stripes and an M shape on its forehead,"A cat wearing nature's own tiger costume, complete with racing stripes"
calico,2,"A patchwork kitty wearing orange, black, and white like a furry quilt",A tri-colored cat that looks like it was painted by a very creative artist,"The cat that proves three colors are better than one, and is almost always a girl"
bengal,2,A wild-looking cat with leopard spots and the energy of a tiny jungle cat,The athletic kitty that looks like a mini leopard and acts like a puppy,"A spotted, energetic cat that can jump higher than you'd believe possible"
sphynx,2,A hairless cat that feels like a warm peach and looks like a tiny alien friend,The cat that proves you don't need fur to be absolutely adorable and cuddly,"A wrinkly, bald kitty that's basically a living hot water bottle with big ears"
pounce,3,The dramatic flying leap a cat makes when attacking a toy or an unsuspecting ankle,"A kitty's signature move: wiggle the butt, lock on target, and JUMP",The acrobatic ambush that proves every house cat is a tiny lion at heart
nap,1,"A cat's favorite activity, taking up roughly 16 hours of every single day","The thing cats do best, in sunbeams, on laptops, and in laundry baskets",A short sleep that turns into a long sleep because cats have mastered relaxation
groom,2,The endless lick-lick-licking cats do to keep their fur spotlessly clean,A kitty's daily beauty routine that involves their built-in sandpaper tongue,How cats spend half their waking hours making sure every whisker is in place
knead,3,The push-push-push motion cats make with their paws on soft blankets,"Making biscuits, the adorable thing kitties do when they feel safe and happy",A rhythmic paw massage that means your cat is in absolute bliss
cuddle,2,"The warm, snuggly hug you share with a purring kitty on a cozy evening",A cat's way of saying I love you by pressing its soft body against yours,"The best feeling in the world: a warm, fuzzy cat curled up next to you"
stalk,2,"The slow, sneaky creep a cat does before pouncing on a toy or a shadow",A kitty's low-to-the-ground prowl that makes it look like a tiny panther,The dramatic hunting walk where a cat pretends a dust bunny is dangerous prey
catnip,3,"The magical herb that turns calm cats into wild, rolling, silly goofballs",A plant so amazing to cats it makes them zoom around like furry tornadoes,Nature's party favor for felines that makes everything hilarious for ten minutes
yarn,2,A ball of string that is the most irresistible cat toy in the entire universe,"Soft, colorful thread that cats bat around and tangle into adorable messes",The classic cat plaything that's been starring in kitty cartoons for over a century
collar,2,The stylish necklace around a kitty's neck with a jingly bell and a name tag,A cat's official ID badge that tells the world who this fancy feline belongs to,A fashion accessory for cats that makes a tiny ding-ding sound wherever they go
litter,1,The sandy stuff in a cat's bathroom box that keeps everything nice and tidy,Tiny granules that cats love to dig around in and sometimes track across the house,A cat's indoor sandbox that magically makes messes disappear
kibble,2,The crunchy little food nuggets that make cats come running at mealtime,"Tiny, tasty cat food pieces that go crunch-crunch-crunch in a kitty's mouth",The dry cat food that sounds like a tiny drum when it hits the food bowl
treats,2,Tiny delicious rewards that can summon a cat from any hiding spot in the house,The crinkly bag of goodies that every kitty comes running for at supersonic speed,Yummy snacks that make cats do tricks they normally pretend they can't do
kitten,3,"A tiny baby cat made entirely of fluff, curiosity, and chaos","The smallest, most adorable version of a cat that can destroy a room in minutes",A miniature furball with oversized ears and eyes that could melt a glacier
kitty,3,"The cutest name for a cat, used by everyone who has ever loved one",A sweet little word for your favorite furry friend with the softest paws,What you call a cat when you're using your baby voice and can't help it
tomcat,2,A boy cat who struts around the neighborhood like he owns the place,A male kitty with big cheeks and an adventurous spirit,The cool dude of the cat world who thinks every alley is his kingdom
feline,2,The fancy scientific word for a cat that makes you sound super smart,What you call a kitty when you want to be extra proper and sophisticated,The official term for the fluffy purring creature hogging your pillow
moggy,2,A lovable mixed-breed cat with no fancy pedigree but all the personality,"The British word for a regular everyday kitty, and it sounds adorable",A mutt of the cat world that's just as wonderful as any purebred
stray,1,A cat without a home who's just waiting for someone kind to adopt it,An outdoor kitty who would love nothing more than a warm lap and a full bowl,A wandering cat looking for its forever family and a cozy spot to sleep
mouser,2,A cat with a special talent for catching mice and keeping the house critter-free,A skilled hunting kitty who takes its pest-control job very seriously,The official title for a cat employed in the noble art of mouse chasing
toe beans,3,The adorable little pink pads on the bottom of a cat's paws,"Nature's cutest jelly beans, found on furry feet","The squishiest, most boop-able part of any kitty"
cat nap,3,A short snooze that somehow always turns into a three-hour sleep session,The quick rest cats take between their regularly scheduled long naps,A brief doze in a sunbeam that recharges a kitty's zoomies battery
belly rub,3,The dangerous game of touching a cat's fluffy tummy and hoping to keep your hand,The ultimate trust exercise between a cat and its human,A soft tummy scratch that might end in purrs or might end in a claw trap
fur ball,2,"A round, fluffy cat curled up so tight you can't tell which end is which",A clump of fur a cat coughs up after too much grooming,A perfectly spherical kitty loaf made of 100% pure fluff
litter box,2,A cat's private bathroom that must be kept spotlessly clean or you WILL hear about it,The indoor sandbox that every cat owner knows needs daily scooping,A kitty's personal toilet that they insist on using right after you clean it
cat tree,2,A multi-level climbing tower that turns your living room into a kitty playground,The indoor jungle gym where cats nap on platforms and peek out of cubbies,A towering cat castle that costs more than your own furniture
toy mouse,2,A fuzzy little fake rodent that cats love to bat under the couch and then cry about,"The pretend prey that gets pounced on, kicked, and carried around the house proudly","A stuffed squeaky thing that ends up in your shoe, your bed, and your water glass"
floof,3,An extremely fluffy cat that looks like a walking cotton ball with eyes,The scientific term for a cat with so much fur it doubles its actual size,A poofed-out kitty that's basically just a cloud with whiskers and a heartbeat
boop,3,The gentle nose-touch you give a kitty's pink snoot because you simply cannot resist,The softest little tap on a cat's nose that brings maximum joy,The universal urge to touch a cute cat nose with your fingertip
blep,3,When a cat forgets to put its tiny tongue back in its mouth and looks hilariously goofy,The adorable mini tongue-sticking-out face that cats make by accident,"A kitty's tongue poking out just a teeny bit, creating the cutest expression ever"
loaf,3,"A cat sitting with all four paws tucked underneath, looking like a fluffy bread loaf",The compact sitting position where a kitty hides its legs and becomes a rectangle,When a cat transforms into a perfect little bread shape on the couch
tuxedo,2,A black and white cat that always looks dressed up for a fancy party,A kitty born wearing nature's most dapper formal suit,"The classiest cat color pattern, like a fluffy little gentleman or lady"
nuzzle,2,When a cat rubs its soft face against you to say you are mine now,The gentle head-push a kitty gives when it wants love and attention,A warm fuzzy face-smoosh that means your cat has officially claimed you
trill,2,The rolling chirpy sound between a meow and a purr that means oh hello there,A musical little greeting noise that happy cats make when they see their favorite person,The adorable brrrrp sound a cat makes that's basically a tiny furry doorbell
sploot,2,When a cat lies flat with its back legs stretched out behind it like a furry frog,The hilarious pose where a kitty's hind legs go full pancake mode,A flat-out lying position that proves cats are actually made of liquid
perch,2,The high-up spot where a cat sits to survey its kingdom like a tiny ruler,Any elevated surface a kitty claims as its personal lookout tower,"The top of the bookshelf, fridge, or door where cats somehow end up"
prowl,2,"The slow, mysterious walk cats do when they're pretending to be jungle predators",A sneaky nighttime patrol around the house checking for invisible intruders,The stealthy strut that makes every house cat feel like a majestic panther
snooze,1,"What cats do for most of the day, in every possible position and location","A gentle sleep that can happen anywhere: shelves, sinks, shoes, or your face",The art of sleeping that cats have elevated to a professional skill
leap,1,The incredible jump a cat makes that defies gravity and common sense,A gravity-defying bound that can take a kitty from floor to countertop in one hop,The athletic spring that proves cats have invisible trampolines in their paws
chase,1,"The high-speed pursuit of laser dots, bugs, and invisible things only cats can see","A thrilling kitty sprint after anything that moves, wiggles, or rolls",The exciting game where a cat runs after something at maximum zoomy speed
pet,1,The gentle stroking motion that turns a regular cat into a purring machine,What every kitty secretly wants even when it pretends to be too cool for affection,The act of running your hand along soft fur until the cat or you falls asleep
sit,1,"What cats do on anything they're not supposed to: keyboards, books, clean laundry",A cat's way of claiming territory by plonking its fuzzy bottom down on it,The rare trick some cats can learn but most choose to ignore entirely
play,1,"The exciting activity that involves batting, chasing, and destroying small objects",A kitten's full-time job and an adult cat's favorite hobby after napping,"The wild fun cats have with strings, balls, and invisible things only they can see"
hide,1,"A cat's favorite game, usually played inside boxes, bags, and behind curtains",What kitties do when the vacuum cleaner comes out or company arrives,The mysterious disappearing act cats perform right before a vet visit
climb,1,"What cats do to anything vertical: trees, curtains, bookshelves, and your legs",A kitty's way of reaching the highest point in any room to survey its domain,The gravity-defying skill that lets cats end up in places they definitely shouldn't be
lick,1,A cat's rough little tongue bath that doubles as both grooming and showing affection,The sandpapery kiss a kitty gives your hand when it thinks you need a wash,"How cats clean themselves, their friends, and sometimes your face at 6 AM"
yawn,1,The dramatic mouth-opening stretch that shows off every tiny kitty tooth,A cat's way of showing you its impressive collection of little fangs,The big sleepy mouth-stretch that's somehow terrifying and adorable at the same time
adopt,2,The wonderful moment when a shelter cat picks you to be its forever human,"Giving a kitty without a home the love, warmth, and snuggles it deserves",The best decision any cat lover can make: saving a furry life and gaining a best friend
muffin,1,"A round, chubby cat that looks like a delicious baked good with eyes",The sweet nickname for any pudgy kitty who loves treats a little too much,"A fluffy, rotund feline that resembles a freshly baked pastry on a cushion"
box,1,A cardboard container that cats love more than any expensive toy you could buy,"The ultimate cat magnet: if it fits, they sits, no matter how small","A simple square of cardboard that becomes a fortress, bed, and kingdom for any kitty"
window,1,"A cat's favorite television channel, showing live birds, squirrels, and neighborhood drama",The glass screen where kitties watch the outdoor world like a nature documentary,"A cat's portal to bird-watching, sun-bathing, and chattering at things it can't reach"
orange cat,2,A ginger kitty famous on the internet for sharing one brain cell with all other orange cats,A marmalade-colored feline known for being extra goofy and lovably silly,"The goofball of the cat world, wearing a bright sunset-colored coat of chaos"
head bonk,2,"The firm little headbutt a cat gives you when it really, truly loves you",A kitty's way of bumping its head against yours to share its scent and affection,The best compliment a cat can give: a solid forehead-to-face smoosh
maine coon,2,A giant fluffy cat that's basically the size of a small dog with a magnificent mane,The gentle giant of the cat world with tufted ears and a bushy raccoon-like tail,"A majestic, extra-large kitty that looks like it belongs in a fairy tale forest"
scratching post,2,The tall fuzzy pole you buy hoping your cat will stop clawing the sofa,A kitty's personal claw-sharpening station wrapped in rope or carpet,The thing cats use after they've already destroyed the furniture
milk bowl,1,The classic saucer of milk that makes every kitty feel like a storybook cat,A shallow dish of creamy goodness that cats lap up with their tiny pink tongues,The traditional treat served at floor level for the fanciest feline guests
tabby cat,2,A stripy kitty that carries a little piece of the wild tiger in its DNA,"The most common and beloved cat pattern, with an M on its forehead like a superhero mark",A classic striped cat that has been winning hearts for thousands of years
cat bed,1,An expensive cushion your cat ignores in favor of sleeping in the cardboard box it came in,A cozy little nest designed for kitties but usually rejected for a laundry basket,"The softest, fanciest sleeping spot that somehow is never as good as a paper bag"
swat,2,The lightning-fast paw smack a cat gives to anything that dares to move nearby,A quick bap with a fuzzy paw that says I am the boss of this dangling string,"The speedy little slap cats use to knock pens, toys, and snacks off any surface"
